"Area","Sektion","Station","year","week","day","Längdgr_std","length_group","netID","age"
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,42,3,2,17.6,"BT.1987.4",5
"BT",1,4,1987,42,3,2,17.6,"BT.1987.4",5
"BT",1,4,1987,42,3,2,17.6,"BT.1987.4",4
"BT",1,4,1987,42,3,2,17.6,"BT.1987.4",4
"BT",1,4,1987,42,3,2,17.6,"BT.1987.4",4
"BT",1,4,1987,42,3,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",3
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",5
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",3
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,3,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,5,2,17.6,"BT.1987.4",4
"BT",1,4,1987,43,5,2,17.6,"BT.1987.4",5
"BT",1,4,1987,44,2,2,17.6,"BT.1987.4",3
"BT",1,4,1987,45,4,2,17.6,"BT.1987.4",3
"BT",1,4,1987,45,4,2,17.6,"BT.1987.4",4
